name,parent
Upper Murray Fire District,1
Murrindindi Fire District,1
Goulburn Fire District,1
Ovens Fire District,1
Alexandra Fire District,1
Broadford Fire District,1
Mansfield Fire District,1
Shepparton Fire District,1
Bairnsdale Fire District,2
Baw Baw Fire District,2
Heyfield Fire District,2
Orbost Fire District,2
Swifts Creek Fire District,2
South Gippsland Fire District,2
Murray Goldfields Fire District,208
Mallee Fire District,208
Bacchus Marsh Fire District,209
Ballarat Fire District,209
Midlands Fire District,209
Otway Fire District,209
Wimmera Fire District,209
Far South West Fire District,209
Melbourne Catchments,210
Other Workcentres,210
New Zealand,296
Canada,296
United States,296
South Australia,297
Queensland,297
Northern Territory,297
Tasmania,297
New South Wales,297
Western Australia,297
